Game,Home,Away
001,Atlético Mineiro / MG,Internacional / RS
002,Fluminense / RJ,Santos / SP
003,São Paulo / SP,Athletico Paranaense / PR
004,Palmeiras / SP,Ceará / CE
005,Botafogo / RJ,Corinthians / SP
006,Juventude / RS,Red Bull Red Bull Bragantino / SP
007,Fortaleza / CE,Cuiabá / MT
008,Atlético / GO,Flamengo / RJ
009,Avaí / SC,América / MG
010,Coritiba / PR,Goiás / GO
011,América / MG,Juventude / RS
012,Flamengo / RJ,São Paulo / SP
013,Red Bull Red Bull Bragantino / SP,Atlético / GO
014,Corinthians / SP,Avaí / SC
015,Santos / SP,Coritiba / PR
016,Internacional / RS,Fortaleza / CE
017,Ceará / CE,Botafogo / RJ
018,Goiás / GO,Palmeiras / SP
019,Cuiabá / MT,Fluminense / RJ
020,Athletico Paranaense / PR,Atlético Mineiro / MG
021,Atlético Mineiro / MG,Coritiba / PR
022,Fluminense / RJ,Internacional / RS
023,Red Bull Red Bull Bragantino / SP,São Paulo / SP
024,Palmeiras / SP,Corinthians / SP
025,Santos / SP,América / MG
026,Juventude / RS,Cuiabá / MT
027,Fortaleza / CE,Ceará / CE
028,Atlético / GO,Botafogo / RJ
029,Avaí / SC,Goiás / GO
030,Athletico Paranaense / PR,Flamengo / RJ
031,América / MG,Athletico Paranaense / PR
032,Flamengo / RJ,Palmeiras / SP
033,São Paulo / SP,Santos / SP
034,Corinthians / SP,Fortaleza / CE
035,Botafogo / RJ,Juventude / RS
036,Internacional / RS,Avaí / SC
037,Ceará / CE,Red Bull Red Bull Bragantino / SP
038,Goiás / GO,Atlético Mineiro / MG
039,Cuiabá / MT,Atlético / GO
040,Coritiba / PR,Fluminense / RJ
041,Atlético Mineiro / MG,América / MG
042,Flamengo / RJ,Botafogo / RJ
043,Red Bull Red Bull Bragantino / SP,Corinthians / SP
044,Palmeiras / SP,Fluminense / RJ
045,Santos / SP,Cuiabá / MT
046,Juventude / RS,Internacional / RS
047,Fortaleza / CE,São Paulo / SP
048,Atlético / GO,Goiás / GO
049,Avaí / SC,Coritiba / PR
050,Athletico Paranaense / PR,Ceará / CE
051,Atlético Mineiro / MG,Atlético / GO
052,Fluminense / RJ,Athletico Paranaense / PR
053,São Paulo / SP,Cuiabá / MT
054,Palmeiras / SP,Red Bull Red Bull Bragantino / SP
055,Botafogo / RJ,Fortaleza / CE
056,Internacional / RS,Corinthians / SP
057,Ceará / CE,Flamengo / RJ
