Game,Home,Away
001,Ponte Preta / SP,Grêmio / RS
002,CSA / AL,Criciúma / SC
003,Sport / PE,Sampaio Corrêa / MA
004,Brusque / SC,Guarani / SP
005,Novorizontino / SP,CRB / AL
006,Londrina / PR,Náutico / PE
007,Vasco da Gama / RJ,Vila Nova / GO
008,Bahia / BA,Cruzeiro / MG
009,Tombense / MG,Operário / PR
010,Chapecoense / SC,Ituano / SP
011,Guarani / SP,Sport / PE
012,CRB / AL,Vasco da Gama / RJ
013,Náutico / PE,Bahia / BA
014,Criciúma / SC,Londrina / PR
015,Ituano / SP,CSA / AL
016,Operário / PR,Ponte Preta / SP
017,Grêmio / RS,Chapecoense / SC
018,Sampaio Corrêa / MA,Tombense / MG
019,Cruzeiro / MG,Brusque / SC
020,Vila Nova / GO,Novorizontino / SP
021,Ponte Preta / SP,CRB / AL
022,CSA / AL,Bahia / BA
023,Náutico / PE,Operário / PR
024,Criciúma / SC,Sport / PE
025,Ituano / SP,Vila Nova / GO
026,Londrina / PR,Novorizontino / SP
027,Grêmio / RS,Guarani / SP
028,Sampaio Corrêa / MA,Brusque / SC
029,Tombense / MG,Cruzeiro / MG
030,Chapecoense / SC,Vasco da Gama / RJ
031,Guarani / SP,Criciúma / SC
032,CRB / AL,Náutico / PE
033,Sport / PE,Ituano / SP
034,Brusque / SC,CSA / AL
035,Novorizontino / SP,Chapecoense / SC
036,Operário / PR,Grêmio / RS
037,Vasco da Gama / RJ,Ponte Preta / SP
038,Bahia / BA,Sampaio Corrêa / MA
039,Cruzeiro / MG,Londrina / PR
040,Vila Nova / GO,Tombense / MG
041,Ponte Preta / SP,Brusque / SC
042,CSA / AL,Sport / PE
043,Náutico / PE,Guarani / SP
044,Criciúma / SC,Novorizontino / SP
045,Ituano / SP,Bahia / BA
046,Londrina / PR,Vila Nova / GO
047,Grêmio / RS,CRB / AL
048,Sampaio Corrêa / MA,Operário / PR
049,Tombense / MG,Vasco da Gama / RJ
050,Chapecoense / SC,Cruzeiro / MG
051,Guarani / SP,Ponte Preta / SP
052,CRB / AL,Sampaio Corrêa / MA
053,Sport / PE,Tombense / MG
054,Brusque / SC,Chapecoense / SC
055,Novorizontino / SP,Ituano / SP
056,Operário / PR,Criciúma / SC
057,Vasco da Gama / RJ,CSA / AL
058,Bahia / BA,Londrina / PR
059,Cruzeiro / MG,Grêmio / RS
060,Vila Nova / GO,Náutico / PE
061,Ponte Preta / SP,Novorizontino / SP
062,CSA / AL,Operário / PR
063,Náutico / PE,Cruzeiro / MG
064,Criciúma / SC,CRB / AL
065,Ituano / SP,Grêmio / RS
066,Londrina / PR,Brusque / SC
067,Vasco da Gama / RJ,Bahia / BA
068,Sampaio Corrêa / MA,Vila Nova / GO
069,Tombense / MG,Guarani / SP
