Game,Home,Away
001,Ypiranga / RS,Aparecidense / GO
002,Botafogo / PB,São José / RS
003,Atlético / CE,Campinense / PB
004,ABC / RN,Paysandu / PA
005,Brasil / RS,Manaus / AM
006,Altos / PI,Botafogo / SP
007,Mirassol / SP,Ferroviário / CE
008,Volta Redonda / RJ,Figueirense / SC
009,Remo / PA,Vitória / BA
010,Floresta / CE,Confiança / SE
011,São José / RS,Volta Redonda / RJ
012,Campinense / PB,Brasil / RS
013,Confiança / SE,Ypiranga / RS
014,Vitória / BA,Floresta / CE
015,Botafogo / SP,Botafogo / PB
016,Manaus / AM,Remo / PA
017,Figueirense / SC,Altos / PI
018,Aparecidense / GO,Mirassol / SP
019,Ferroviário / CE,ABC / RN
020,Paysandu / PA,Atlético / CE
021,Ypiranga / RS,Vitória / BA
022,Botafogo / PB,Confiança / SE
023,Atlético / CE,Ferroviário / CE
024,ABC / RN,Campinense / PB
025,Brasil / RS,Botafogo / SP
026,Manaus / AM,Aparecidense / GO
027,Mirassol / SP,Paysandu / PA
028,Volta Redonda / RJ,Altos / PI
029,Remo / PA,São José / RS
030,Floresta / CE,Figueirense / SC
031,São José / RS,Brasil / RS
032,Campinense / PB,Aparecidense / GO
033,Confiança / SE,Remo / PA
034,Vitória / BA,Manaus / AM
035,Botafogo / SP,Floresta / CE
036,Altos / PI,ABC / RN
037,Figueirense / SC,Mirassol / SP
038,Volta Redonda / RJ,Atlético / CE
039,Ferroviário / CE,Botafogo / PB
040,Paysandu / PA,Ypiranga / RS
041,Ypiranga / RS,Floresta / CE
042,Botafogo / PB,Altos / PI
043,Atlético / CE,Figueirense / SC
044,ABC / RN,Volta Redonda / RJ
045,Brasil / RS,Remo / PA
046,Manaus / AM,Confiança / SE
047,Mirassol / SP,Campinense / PB
048,Aparecidense / GO,Vitória / BA
049,Ferroviário / CE,São José / RS
050,Paysandu / PA,Botafogo / SP
051,São José / RS,Paysandu / PA
052,Campinense / PB,Ypiranga / RS
053,Confiança / SE,Ferroviário / CE
054,Vitória / BA,Botafogo / PB
055,Botafogo / SP,ABC / RN
056,Altos / PI,Atlético / CE
057,Figueirense / SC,Aparecidense / GO
058,Volta Redonda / RJ,Brasil / RS
059,Remo / PA,Mirassol / SP
060,Floresta / CE,Manaus / AM
061,Ypiranga / RS,Remo / PA
062,Botafogo / PB,Campinense / PB
063,Atlético / CE,ABC / RN
064,Vitória / BA,Confiança / SE
065,Brasil / RS,Figueirense / SC
066,Manaus / AM,São José / RS
067,Mirassol / SP,Altos / PI
068,Aparecidense / GO,Floresta / CE
069,Ferroviário / CE,Botafogo / SP
070,Paysandu / PA,Volta Redonda / RJ
071,São José / RS,Atlético / CE
072,Campinense / PB,Vitória / BA
073,Confiança / SE,Aparecidense / GO
074,ABC / RN,Brasil / RS
075,Botafogo / SP,Mirassol / SP
076,Altos / PI,Ypiranga / RS
077,Figueirense / SC,Ferroviário / CE
078,Volta Redonda / RJ,Botafogo / PB
079,Remo / PA,Floresta / CE
080,Paysandu / PA,Manaus / AM
081,Ypiranga / RS,Figueirense / SC
082,Botafogo / PB,ABC / RN
083,Confiança / SE,Botafogo / SP
084,Vitória / BA,Volta Redonda / RJ
085,Ferroviário / CE,Paysandu / PA
086,Manaus / AM,Altos / PI
087,Mirassol / SP,Brasil / RS
088,Aparecidense / GO,São José / RS
089,Remo / PA,Campinense / PB
090,Floresta / CE,Atlético / CE
091,São José / RS,Floresta / CE
092,Campinense / PB,Manaus / AM
093,Atlético / CE,Vitória / BA
094,ABC / RN,Mirassol / SP
095,Brasil / RS,Ypiranga / RS
096,Botafogo / SP,Aparecidense / GO
097,Figueirense / SC,Confiança / SE
098,Volta Redonda / RJ,Remo / PA
099,Altos / PI,Ferroviário / CE
100,Paysandu / PA,Botafogo / PB
101,Ypiranga / RS,ABC / RN
102,Botafogo / PB,Atlético / CE
103,Confiança / SE,Campinense / PB
104,Vitória / BA,Botafogo / SP
105,Brasil / RS,Ferroviário / CE
106,Manaus / AM,Figueirense / SC
107,Mirassol / SP,São José / RS
108,Aparecidense / GO,Paysandu / PA
109,Remo / PA,Altos / PI
110,Floresta / CE,Volta Redonda / RJ
111,São José / RS,Campinense / PB
112,Botafogo / PB,Mirassol / SP
113,Atlético / CE,Ypiranga / RS
114,ABC / RN,Confiança / SE
115,Botafogo / SP,Manaus / AM
116,Altos / PI,Vitória / BA
117,Figueirense / SC,Remo / PA
118,Volta Redonda / RJ,Aparecidense / GO
119,Ferroviário / CE,Floresta / CE
120,Paysandu / PA,Brasil / RS
121,Ypiranga / RS,São José / RS
122,Campinense / PB,Botafogo / SP
123,Confiança / SE,Volta Redonda / RJ
124,Vitória / BA,Figueirense / SC
125,Brasil / RS,Botafogo / PB
126,Manaus / AM,Ferroviário / CE
127,Mirassol / SP,Atlético / CE
128,Aparecidense / GO,ABC / RN
129,Remo / PA,Paysandu / PA
130,Floresta / CE,Altos / PI
131,São José / RS,Vitória / BA
132,Botafogo / PB,Floresta / CE
133,Atlético / CE,Remo / PA
134,ABC / RN,Manaus / AM
135,Botafogo / SP,Ypiranga / RS
136,Altos / PI,Brasil / RS
137,Figueirense / SC,Campinense / PB
138,Volta Redonda / RJ,Mirassol / SP
139,Ferroviário / CE,Aparecidense / GO
140,Paysandu / PA,Confiança / SE
141,Ypiranga / RS,Botafogo / PB
