Game,Home,Away
002,Santos / AP,Princesa do Solimões / AM
003,Genus / RO,Atlético / AC
004,Guarany / CE,Ríver / PI
005,Remo / PA,Moto Club / MA
006,Baraúnas / RN,Central / PE
007,Coruripe / AL,Jacuipense / BA
008,Porto / PE,Globo / RN
009,Vitória da Conquista / BA,Betim / MG
010,Villa Nova / MG,Brasiliense / DF
011,Itaporã / MS,Anapolina / GO
012,Luziânia / DF,Tombense / MG
013,Goianesia / GO,Operário / MT
014,Cabofriense / RJ,Guarani / SC
015,Ituano / SP,Brasil / RS
016,Metropolitano / SC,Boavista / RJ
017,Pelotas / RS,Penapolense / SP
018,Princesa do Solimões / AM,Rio Branco / AC
019,Atlético / AC,Santos / AP
020,São Raimundo / RR,Genus / RO
021,Ríver / PI,Remo / PA
022,Moto Club / MA,Interporto / TO
023,Central / PE,Campinense / PB
024,Jacuipense / BA,Baraúnas / RN
025,Confiança / SE,Porto / PE
026,Globo / RN,Vitória da Conquista / BA
027,Brasiliense / DF,Estrela do Norte / ES
028,Anapolina / GO,Villa Nova / MG
029,Grêmio Barueri / SP,Luziânia / DF
030,Tombense / MG,Goianesia / GO
031,Guarani / SC,Maringá / PR
032,Brasil / RS,Cabofriense / RJ
033,Londrina / PR,Metropolitano / SC
034,Boavista / RJ,Pelotas / RS
035,Atlético / AC,São Raimundo / RR
036,Santos / AP,Rio Branco / AC
037,Genus / RO,Princesa do Solimões / AM
038,Guarany / CE,Interporto / TO
039,Ríver / PI,Moto Club / MA
040,Baraúnas / RN,Coruripe / AL
041,Campinense / PB,Jacuipense / BA
042,Betim / MG,Globo / RN
043,Vitória da Conquista / BA,Confiança / SE
044,Villa Nova / MG,Itaporã / MS
045,Estrela do Norte / ES,Anapolina / GO
046,Operário / MT,Tombense / MG
047,Goianesia / GO,Grêmio Barueri / SP
048,Cabofriense / RJ,Ituano / SP
049,Maringá / PR,Brasil / RS
050,Penapolense / SP,Boavista / RJ
051,Pelotas / RS,Londrina / PR
052,Princesa do Solimões / AM,Atlético / AC
053,São Raimundo / RR,Santos / AP
054,Rio Branco / AC,Genus / RO
055,Interporto / TO,Remo / PA
