Game,Home,Away
001,Fluminense / RJ,Santos / SP
002,Flamengo / RJ,Atlético / MG
003,Palmeiras / SP,Vasco da Gama / RJ
004,Corinthians / SP,Chapecoense / SC
005,Cruzeiro / MG,São Paulo / SP
006,Coritiba / PR,Atlético / GO
007,Grêmio / RS,Botafogo / RJ
008,Bahia / BA,Athletico Paranaense / PR
009,Ponte Preta / SP,Sport / PE
010,Avaí / SC,Vitória / BA
011,Botafogo / RJ,Ponte Preta / SP
012,Vasco da Gama / RJ,Bahia / BA
013,Santos / SP,Coritiba / PR
014,São Paulo / SP,Avaí / SC
015,Atlético / MG,Fluminense / RJ
016,Athletico Paranaense / PR,Grêmio / RS
017,Sport / PE,Cruzeiro / MG
018,Vitória / BA,Corinthians / SP
019,Atlético / GO,Flamengo / RJ
020,Chapecoense / SC,Palmeiras / SP
021,Botafogo / RJ,Bahia / BA
022,Vasco da Gama / RJ,Fluminense / RJ
023,Santos / SP,Cruzeiro / MG
024,São Paulo / SP,Palmeiras / SP
025,Atlético / MG,Ponte Preta / SP
026,Athletico Paranaense / PR,Flamengo / RJ
027,Sport / PE,Grêmio / RS
028,Vitória / BA,Coritiba / PR
029,Atlético / GO,Corinthians / SP
030,Chapecoense / SC,Avaí / SC
031,Fluminense / RJ,Vitória / BA
032,Flamengo / RJ,Botafogo / RJ
033,Palmeiras / SP,Atlético / MG
034,Corinthians / SP,Santos / SP
035,Cruzeiro / MG,Chapecoense / SC
036,Coritiba / PR,Athletico Paranaense / PR
037,Grêmio / RS,Vasco da Gama / RJ
038,Bahia / BA,Atlético / GO
039,Ponte Preta / SP,São Paulo / SP
040,Avaí / SC,Sport / PE
041,Fluminense / RJ,Athletico Paranaense / PR
042,Vasco da Gama / RJ,Corinthians / SP
043,Santos / SP,Botafogo / RJ
044,São Paulo / SP,Vitória / BA
045,Atlético / MG,Avaí / SC
046,Coritiba / PR,Palmeiras / SP
047,Sport / PE,Flamengo / RJ
048,Bahia / BA,Cruzeiro / MG
049,Atlético / GO,Ponte Preta / SP
050,Chapecoense / SC,Grêmio / RS
051,Botafogo / RJ,Coritiba / PR
052,Vasco da Gama / RJ,Sport / PE
053,Palmeiras / SP,Fluminense / RJ
054,Corinthians / SP,São Paulo / SP
055,Cruzeiro / MG,Atlético / GO
056,Athletico Paranaense / PR,Santos / SP
057,Grêmio / RS,Bahia / BA
058,Vitória / BA,Atlético / MG
059,Ponte Preta / SP,Chapecoense / SC
060,Avaí / SC,Flamengo / RJ
061,Fluminense / RJ,Grêmio / RS
062,Flamengo / RJ,Ponte Preta / SP
063,Santos / SP,Palmeiras / SP
064,Corinthians / SP,Cruzeiro / MG
065,Atlético / MG,Athletico Paranaense / PR
066,Coritiba / PR,Bahia / BA
067,Sport / PE,São Paulo / SP
068,Vitória / BA,Botafogo / RJ
069,Atlético / GO,Avaí / SC
070,Chapecoense / SC,Vasco da Gama / RJ
071,Fluminense / RJ,Flamengo / RJ
072,Vasco da Gama / RJ,Avaí / SC
073,Santos / SP,Ponte Preta / SP
074,São Paulo / SP,Atlético / MG
075,Cruzeiro / MG,Grêmio / RS
076,Coritiba / PR,Corinthians / SP
077,Sport / PE,Vitória / BA
078,Bahia / BA,Palmeiras / SP
079,Atlético / GO,Athletico Paranaense / PR
080,Chapecoense / SC,Botafogo / RJ
081,Botafogo / RJ,Vasco da Gama / RJ
082,Flamengo / RJ,Chapecoense / SC
083,Palmeiras / SP,Atlético / GO
084,Corinthians / SP,Bahia / BA
085,Atlético / MG,Sport / PE
086,Athletico Paranaense / PR,São Paulo / SP
087,Grêmio / RS,Coritiba / PR
088,Vitória / BA,Santos / SP
089,Ponte Preta / SP,Cruzeiro / MG
090,Avaí / SC,Fluminense / RJ
091,Botafogo / RJ,Avaí / SC
092,Vasco da Gama / RJ,Atlético / GO
093,Santos / SP,Sport / PE
094,São Paulo / SP,Fluminense / RJ
095,Cruzeiro / MG,Coritiba / PR
096,Athletico Paranaense / PR,Vitória / BA
097,Grêmio / RS,Corinthians / SP
098,Bahia / BA,Flamengo / RJ
099,Ponte Preta / SP,Palmeiras / SP
100,Chapecoense / SC,Atlético / MG
101,Fluminense / RJ,Chapecoense / SC
102,Flamengo / RJ,São Paulo / SP
103,Palmeiras / SP,Grêmio / RS
104,Corinthians / SP,Botafogo / RJ
