Game,Home,Away,Date,Time,Stadium
001,ABC / RN,Paraná / PR,13/05/2017,16:30,Maria Lamas Farache / Natal
002,Náutico / PE,América / MG,12/05/2017,21:30,Arena Pernambuco / São Lourenço da Mata
003,Criciúma / SC,Santa Cruz / PE,13/05/2017,16:30,Heriberto Hulse / Criciuma
004,Goiás / GO,Figueirense / SC,13/05/2017,19:00,Serra Dourada / Goiânia
005,Guarani / SP,Brasil / RS,12/05/2017,20:30,Brinco de Ouro da Princesa / Campinas
006,Juventude / RS,Luverdense / MT,12/05/2017,20:30,Alfredo Jaconi / Caxias do Sul
007,Londrina / PR,Internacional / RS,13/05/2017,16:30,Jacy Scaff / Londrina
008,Boa / MG,Vila Nova / GO,13/05/2017,16:30,Dilzon Luís de Melo / Varginha
009,Paysandu / PA,Oeste / SP,13/05/2017,21:00,Leônidas Sobré de Castro / Belem
010,CRB / AL,Ceará / CE,12/05/2017,19:15,Rei Pelé / Maceió
011,Ceará / CE,Boa / MG,16/05/2017,21:30,Presidente Vargas / Fortaleza
012,Santa Cruz / PE,Guarani / SP,20/05/2017,16:30,José do Rego Maciel / Recife
013,Figueirense / SC,Náutico / PE,20/05/2017,16:30,Orlando Scarpelli / Florianopolis
014,Vila Nova / GO,Juventude / RS,19/05/2017,20:30,Serra Dourada / Goiânia
015,Oeste / SP,Criciúma / SC,20/05/2017,16:30,Arena Barueri / Barueri
016,Brasil / RS,Londrina / PR,16/05/2017,19:15,Bento da Silva Freitas / Pelotas
017,Paraná / PR,Paysandu / PA,19/05/2017,19:15,Durival Britto E Silva / Curitiba
018,América / MG,Goiás / GO,19/05/2017,21:30,Raimundo Sampaio / Belo Horizonte
019,Luverdense / MT,CRB / AL,20/05/2017,16:30,Arena Pantanal / Cuiabá
020,Internacional / RS,ABC / RN,20/05/2017,19:00,José Pinheiro Borda / Porto Alegre
021,ABC / RN,Vila Nova / GO,27/05/2017,16:30,Maria Lamas Farache / Natal
022,Náutico / PE,Ceará / CE,27/05/2017,16:30,Arena Pernambuco / São Lourenço da Mata
023,Criciúma / SC,América / MG,26/05/2017,19:15,Heriberto Hulse / Criciuma
024,Goiás / GO,Brasil / RS,26/05/2017,21:30,Serra Dourada / Goiânia
025,Guarani / SP,Figueirense / SC,23/05/2017,21:30,Brinco de Ouro da Princesa / Campinas
