Game,Home,Away,Date,Time,Stadium
001,ABC / RN,Náutico / PE,28/04/2019,18:00,Maria Lamas Farache / Natal
002,Imperatriz / MA,Globo / RN,27/04/2019,19:00,Frei Epifânio D´abadia / Imperatriz
003,Santa Cruz / PE,Treze / PB,29/04/2019,20:00,José do Rêgo Maciel / Recife
004,Botafogo / PB,Ferroviário / CE,28/04/2019,17:00,José Américo de Almeida Filho / Joao Pessoa
005,Confiança / SE,Sampaio Corrêa / MA,28/04/2019,16:00,Lourival Baptista / Aracaju
006,Luverdense / MT,Juventude / RS,28/04/2019,17:00,Passo das Emas / Lucas do Rio Verde
007,Remo / PA,Boa / MG,27/04/2019,19:15,Olímpico do Pará / Belem
008,Tombense / MG,São José / RS,27/04/2019,16:00,Antônio Guimarães de Almeida / Tombos
009,Ypiranga / RS,Paysandu / PA,27/04/2019,17:15,Colosso da Lagoa / Erechim
010,Volta Redonda / RJ,Atlético / AC,27/04/2019,16:00,Sylvio Raulino de Oliveira / Volta Redonda
011,Globo / RN,Confiança / SE,04/05/2019,17:00,Manoel Dantas Barretto / Ceara-Mirim
012,Sampaio Corrêa / MA,Botafogo / PB,04/05/2019,17:00,Governador João Castelo / Sao Luis
013,Náutico / PE,Imperatriz / MA,04/05/2019,19:15,Eládio de Barros Carvalho / Recife
014,Treze / PB,ABC / RN,05/05/2019,16:00,Ernani Sátyro / Campina Grande
015,Ferroviário / CE,Santa Cruz / PE,05/05/2019,18:00,Governador Plácido Aderaldo Castelo / Fortaleza
016,Atlético / AC,Ypiranga / RS,05/05/2019,19:00,Antonio Aquino Lopes / Rio Branco
017,Paysandu / PA,Tombense / MG,06/05/2019,20:00,Leônidas Sobré de Castro / Belem
018,Boa / MG,Volta Redonda / RJ,05/05/2019,16:00,Dilzon Luís de Melo / Varginha
019,Juventude / RS,Remo / PA,04/05/2019,17:15,Alfredo Jaconi / Caxias do Sul
020,São José / RS,Luverdense / MT,04/05/2019,16:00,Passo D´areia / Porto Alegre
021,Globo / RN,Sampaio Corrêa / MA,12/05/2019,15:00,Manoel Dantas Barretto / Ceara-Mirim
022,Imperatriz / MA,Treze / PB,11/05/2019,19:00,Frei Epifânio D´abadia / Imperatriz
023,Náutico / PE,Ferroviário / CE,12/05/2019,18:00,Eládio de Barros Carvalho / Recife
024,Botafogo / PB,Santa Cruz / PE,13/05/2019,20:00,José Américo de Almeida Filho / Joao Pessoa
025,Confiança / SE,ABC / RN,12/05/2019,16:00,Lourival Baptista / Aracaju
026,Luverdense / MT,Remo / PA,11/05/2019,17:15,Passo das Emas / Lucas do Rio Verde
027,Paysandu / PA,Juventude / RS,11/05/2019,19:15,Leônidas Sobré de Castro / Belem
028,Boa / MG,Atlético / AC,12/05/2019,16:00,Dilzon Luís de Melo / Varginha
029,Ypiranga / RS,São José / RS,12/05/2019,15:30,Colosso da Lagoa / Erechim
030,Volta Redonda / RJ,Tombense / MG,11/05/2019,16:00,Sylvio Raulino de Oliveira / Volta Redonda
031,ABC / RN,Botafogo / PB,19/05/2019,16:00,Maria Lamas Farache / Natal
032,Imperatriz / MA,Confiança / SE,18/05/2019,19:00,Frei Epifânio D´abadia / Imperatriz
033,Santa Cruz / PE,Sampaio Corrêa / MA,18/05/2019,17:15,José do Rêgo Maciel / Recife
034,Treze / PB,Náutico / PE,18/05/2019,19:15,Ernani Sátyro / Campina Grande
035,Ferroviário / CE,Globo / RN,20/05/2019,20:00,Governador Plácido Aderaldo Castelo / Fortaleza
036,Atlético / AC,São José / RS,19/05/2019,19:00,Antonio Aquino Lopes / Rio Branco
037,Remo / PA,Ypiranga / RS,20/05/2019,20:00,Olímpico do Pará / Belem
038,Tombense / MG,Luverdense / MT,18/05/2019,16:00,Antônio Guimarães de Almeida / Tombos
039,Juventude / RS,Boa / MG,19/05/2019,16:00,Alfredo Jaconi / Caxias do Sul
040,Volta Redonda / RJ,Paysandu / PA,19/05/2019,18:00,Sylvio Raulino de Oliveira / Volta Redonda
041,Globo / RN,Treze / PB,26/05/2019,17:00,Manoel Dantas Barretto / Ceara-Mirim
042,Sampaio Corrêa / MA,Ferroviário / CE,26/05/2019,17:00,Governador João Castelo / Sao Luis
043,Santa Cruz / PE,ABC / RN,25/05/2019,19:15,José do Rêgo Maciel / Recife
044,Botafogo / PB,Imperatriz / MA,26/05/2019,18:00,José Américo de Almeida Filho / Joao Pessoa
045,Confiança / SE,Náutico / PE,25/05/2019,17:15,Lourival Baptista / Aracaju
046,Luverdense / MT,Volta Redonda / RJ,26/05/2019,17:00,Passo das Emas / Lucas do Rio Verde
047,Remo / PA,Atlético / AC,26/05/2019,16:00,Olímpico do Pará / Belem
048,Boa / MG,Paysandu / PA,26/05/2019,18:00,Dilzon Luís de Melo / Varginha
049,Ypiranga / RS,Tombense / MG,26/05/2019,15:30,Colosso da Lagoa / Erechim
050,São José / RS,Juventude / RS,25/05/2019,18:00,Passo D´areia / Porto Alegre
051,ABC / RN,Ferroviário / CE,02/06/2019,16:00,Maria Lamas Farache / Natal
052,Imperatriz / MA,Santa Cruz / PE,01/06/2019,19:15,Frei Epifânio D´abadia / Imperatriz
053,Náutico / PE,Globo / RN,01/06/2019,17:15,Eládio de Barros Carvalho / Recife
054,Treze / PB,Sampaio Corrêa / MA,02/06/2019,16:00,Ernani Sátyro / Campina Grande
055,Confiança / SE,Botafogo / PB,02/06/2019,16:00,Lourival Baptista / Aracaju
056,Luverdense / MT,Boa / MG,02/06/2019,17:00,Passo das Emas / Lucas do Rio Verde
057,Paysandu / PA,São José / RS,02/06/2019,18:00,Leônidas Sobré de Castro / Belem
058,Tombense / MG,Remo / PA,03/06/2019,20:00,Antônio Guimarães de Almeida / Tombos
059,Juventude / RS,Atlético / AC,01/06/2019,18:00,Alfredo Jaconi / Caxias do Sul
060,Volta Redonda / RJ,Ypiranga / RS,01/06/2019,16:00,Sylvio Raulino de Oliveira / Volta Redonda
061,ABC / RN,Imperatriz / MA,08/06/2019,16:00,Maria Lamas Farache / Natal
062,Sampaio Corrêa / MA,Náutico / PE,10/06/2019,20:00,Governador João Castelo / Sao Luis
063,Santa Cruz / PE,Confiança / SE,09/06/2019,18:00,José do Rêgo Maciel / Recife
064,Botafogo / PB,Globo / RN,09/06/2019,18:00,José Américo de Almeida Filho / Joao Pessoa
065,Ferroviário / CE,Treze / PB,10/06/2019,20:00,Governador Plácido Aderaldo Castelo / Fortaleza
066,Atlético / AC,Paysandu / PA,08/06/2019,19:00,Antonio Aquino Lopes / Rio Branco
067,Remo / PA,Volta Redonda / RJ,08/06/2019,17:00,Olímpico do Pará / Belem
068,Tombense / MG,Juventude / RS,08/06/2019,19:15,Antônio Guimarães de Almeida / Tombos
069,Ypiranga / RS,Luverdense / MT,09/06/2019,18:00,Colosso da Lagoa / Erechim
070,São José / RS,Boa / MG,08/06/2019,16:00,Passo D´areia / Porto Alegre
071,Globo / RN,Santa Cruz / PE,17/06/2019,20:00,Manoel Dantas Barretto / Ceara-Mirim
072,Sampaio Corrêa / MA,ABC / RN,15/06/2019,19:15,Governador João Castelo / Sao Luis
073,Náutico / PE,Botafogo / PB,03/07/2019,19:00,Eládio de Barros Carvalho / Recife
074,Treze / PB,Confiança / SE,16/06/2019,16:00,Ernani Sátyro / Campina Grande
075,Ferroviário / CE,Imperatriz / MA,15/06/2019,16:00,Presidente Vargas / Fortaleza
076,Atlético / AC,Tombense / MG,16/06/2019,19:00,Antonio Aquino Lopes / Rio Branco
077,Paysandu / PA,Luverdense / MT,15/06/2019,17:00,Olímpico do Pará / Belem
078,Boa / MG,Ypiranga / RS,16/06/2019,16:00,Dilzon Luís de Melo / Varginha
079,Juventude / RS,Volta Redonda / RJ,14/06/2019,19:00,Alfredo Jaconi / Caxias do Sul
080,São José / RS,Remo / PA,13/06/2019,20:00,Passo D´areia / Porto Alegre
