Game,Home,Away,Date,Time,Stadium
001,Barcelona / RO,Rio Branco / AC,05/05/2019,18:00,Arnaldo Lopes Martins / Vilhena
002,Fast Clube / AM,São Raimundo / RR,07/05/2019,21:00,Ismael Benigno / Manaus
003,Santos / AP,Manaus / AM,04/05/2019,16:00,Milton de Souza Correia / Macapa
004,Galvez / AC,Real Desportivo / RO,04/05/2019,19:00,Arena da Floresta / Rio Branco
005,Atlético / RR,Moto Club / MA,04/05/2019,19:00,Raimundo Ribeiro de Souza / Boa Vista
006,São Raimundo / PA,Ypiranga / AP,05/05/2019,17:00,Estadual de Santarém (jader Barbalho) / Santarem
007,Ríver / PI,Bragantino / PA,05/05/2019,16:00,Governador Alberto Silva / Teresina
008,Santa Cruz / RN,Floresta / CE,05/05/2019,16:00,Arena das Dunas / Natal
009,Atlético / CE,Central / PE,04/05/2019,15:30,Presidente Vargas / Fortaleza
010,Maranhão / MA,Altos / PI,05/05/2019,17:00,Governador João Castelo / Sao Luis
011,Serrano / PB,América / RN,04/05/2019,16:00,Ernani Sátyro / Campina Grande
012,América / PE,Bahia de Feira / BA,05/05/2019,16:00,Ademir Cunha / Paulista
013,Jacuipense / BA,ASA / AL,05/05/2019,16:00,Eliel Martins / Riachao do Jacuipe
014,Vitória / PE,Campinense / PB,05/05/2019,16:00,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata
015,Fluminense de Feira / BA,Salgueiro / PE,05/05/2019,16:00,Alberto Oliveira / Feira de Santana
016,Coruripe / AL,Sergipe / SE,04/05/2019,19:00,Gerson Amaral / Coruripe
017,Itabaiana / SE,Aparecidense / GO,06/05/2019,20:15,Etelvino Mendonça / Itabaiana
018,Interporto / TO,Juazeirense / BA,04/05/2019,16:00,General Sampaio / Porto Nacional
019,Corumbaense / MS,Palmas / TO,04/05/2019,18:00,Arthur Marinho / Corumba
020,Ipora / GO,Sinop / MT,05/05/2019,15:30,Francisco José Ferreira / Ipora
021,União de Rondonópolis / MT,Anapolina / GO,06/05/2019,21:10,Luthero Lopes / Rondonopolis
022,Atlético Patrocinense / MG,Operário / MS,05/05/2019,16:00,Pedro Alves do Nascimento / Patrocinio
023,Vitória / ES,Sobradinho / DF,04/05/2019,16:00,Kleber José de Andrade / Cariacica
024,Caldense / MG,Portuguesa / RJ,04/05/2019,19:00,Ronaldo Junqueira / Pocos de Caldas
025,Ituano / SP,URT / MG,04/05/2019,16:00,Novelli Junior / Itu
026,Brasiliense / DF,Serra / ES,04/05/2019,15:30,Elmo Serejo Farias / Brasilia
027,Hercilio Luz / SC,Tupi / MG,05/05/2019,16:00,Aníbal Torres Costa / Tubarao
028,Itaborai / RJ,Novorizontino / SP,05/05/2019,15:00,Alziro de Almeida / Itaborai
029,Brusque / SC,Boavista / RJ,06/05/2019,20:00,Augusto Bauer / Brusque
030,Gaúcho / RS,Foz do Iguaçu / PR,04/05/2019,15:00,Wolmar Salton / Passo Fundo
031,Caxias / RS,São Caetano / SP,05/05/2019,16:00,Francisco Stédile / Caxias do Sul
032,Cianorte / PR,Tubarão / SC,05/05/2019,16:00,Albino Turbay / Cianorte
033,Maringá / PR,Avenida / RS,04/05/2019,17:00,Willie Davids / Maringa
034,Ferroviária / SP,Joinville / SC,04/05/2019,18:00,Ademar Pereira de Barros / Araraquara
035,Rio Branco / AC,Fast Clube / AM,12/05/2019,19:00,Arena da Floresta / Rio Branco
036,São Raimundo / RR,Barcelona / RO,11/05/2019,19:30,Raimundo Ribeiro de Souza / Boa Vista
037,Manaus / AM,Galvez / AC,11/05/2019,18:00,Ismael Benigno / Manaus
038,Real Desportivo / RO,Santos / AP,11/05/2019,20:30,Gentil Valério de Lima / Ariquemes
039,Moto Club / MA,São Raimundo / PA,12/05/2019,17:00,Governador João Castelo / Sao Luis
040,Ypiranga / AP,Atlético / RR,13/05/2019,20:00,Milton de Souza Correia / Macapa
041,Bragantino / PA,Santa Cruz / RN,12/05/2019,15:00,São Benedito / Braganca
042,Floresta / CE,Ríver / PI,11/05/2019,16:00,Horácio Domingos de Sousa / Horizonte
043,Central / PE,Maranhão / MA,12/05/2019,16:00,Luíz José de Lacerda / Caruaru
044,Altos / PI,Atlético / CE,12/05/2019,15:30,Felipe Mendes Raulino / Altos
045,América / RN,América / PE,11/05/2019,17:00,Arena das Dunas / Natal
046,Bahia de Feira / BA,Serrano / PB,11/05/2019,16:00,Professor Jodilton Souza   / Feira de Santana
047,ASA / AL,Vitória / PE,11/05/2019,16:00,Coaracy da Mata Fonseca / Arapiraca
048,Campinense / PB,Jacuipense / BA,12/05/2019,16:00,Ernani Sátyro / Campina Grande
049,Salgueiro / PE,Coruripe / AL,11/05/2019,20:00,Cornélio de Barros Muniz / Salgueiro
050,Sergipe / SE,Fluminense de Feira / BA,11/05/2019,17:00,Lourival Baptista / Aracaju
051,Aparecidense / GO,Interporto / TO,11/05/2019,17:00,Anibal Batista de Toledo / Aparecida de Goiania
052,Juazeirense / BA,Itabaiana / SE,11/05/2019,16:00,Adauto Moraes / Juazeiro
053,Palmas / TO,Ipora / GO,11/05/2019,16:00,Nilton Santos / Palmas
054,Sinop / MT,Corumbaense / MS,12/05/2019,18:00,Massami Uriu / Sinop
055,Anapolina / GO,Atlético Patrocinense / MG,11/05/2019,18:00,Jonas Ferreira Duarte / Anapolis
056,Operário / MS,União de Rondonópolis / MT,12/05/2019,16:00,Jacques da Luz / Campo Grande
057,Sobradinho / DF,Caldense / MG,11/05/2019,16:00,Augustinho Pires de Lima / Sobradinho
058,Portuguesa / RJ,Vitória / ES,11/05/2019,15:00,Luso Brasileiro / Rio de Janeiro
059,URT / MG,Brasiliense / DF,13/05/2019,19:00,Zama Maciel / Patos de Minas
060,Serra / ES,Ituano / SP,11/05/2019,17:00,Roberto Costa / Serra
061,Tupi / MG,Itaborai / RJ,11/05/2019,16:00,Mario Helênio / Juiz de Fora
062,Novorizontino / SP,Hercilio Luz / SC,10/05/2019,19:30,Dr. Jorge Ismael de Biasi / Novo Horizonte
063,Boavista / RJ,Gaúcho / RS,12/05/2019,15:30,Elcyr Resende de Mendonça / Saquarema
064,Foz do Iguaçu / PR,Brusque / SC,12/05/2019,16:00,Estádio do Abc / Foz do Iguacu
065,São Caetano / SP,Cianorte / PR,11/05/2019,16:00,Anacleto Campanella / Sao Caetano do Sul
066,Tubarão / SC,Caxias / RS,12/05/2019,16:00,Domingos Silveira Gonzalez / Tubarao
